industry,count,link
3D Games,1,https://startuplist.africa/industry/3d-games
3D Technology,8,https://startuplist.africa/industry/3d-technology
3D printing,1,https://startuplist.africa/industry/3d-printing
Ad Network,1,https://startuplist.africa/industry/ad-network
AdTech,6,https://startuplist.africa/industry/adtech
Aquaculture,5,https://startuplist.africa/industry/aquaculture
Aerospace,2,https://startuplist.africa/industry/aerospace
Animation,3,https://startuplist.africa/industry/animation
Automation,10,https://startuplist.africa/industry/automation
Agriculture,133,https://startuplist.africa/industry/agriculture
AI Technology,1,https://startuplist.africa/industry/ai-technology
And Cloud Services,1,https://startuplist.africa/industry/and-cloud-services
ACH,1,https://startuplist.africa/industry/ach
Africa,1,https://startuplist.africa/industry/africa
Advisory,1,https://startuplist.africa/industry/advisory
Analytics & Insight,1,https://startuplist.africa/industry/analytics-insight
Accounting,12,https://startuplist.africa/industry/accounting
Auto Repair,1,https://startuplist.africa/industry/auto-repair
Agricultural Insurance,2,https://startuplist.africa/industry/agricultural-insurance
App,1,https://startuplist.africa/industry/app
Agri finance,1,https://startuplist.africa/industry/agri-finance
AgTech,144,https://startuplist.africa/industry/agtech
Agency,5,https://startuplist.africa/industry/agency
Aerodynamics,1,https://startuplist.africa/industry/aerodynamics
Artisans,1,https://startuplist.africa/industry/artisans
Accelerator,3,https://startuplist.africa/industry/accelerator
Apparel,4,https://startuplist.africa/industry/apparel
Agency Banking,1,https://startuplist.africa/industry/agency-banking
AgriTech,30,https://startuplist.africa/industry/agritech
Automotive,60,https://startuplist.africa/industry/automotive
Apps,34,https://startuplist.africa/industry/apps
Artificial Intelligence,104,https://startuplist.africa/industry/artificial-intelligence
Advertising,51,https://startuplist.africa/industry/advertising
Agritech,0,https://startuplist.africa/industry/agritech
Audio,2,https://startuplist.africa/industry/audio
Air Transportation,1,https://startuplist.africa/industry/air-transportation
Application Software,21,https://startuplist.africa/industry/application-software
Agricculture,1,https://startuplist.africa/industry/agricculture
Analytics,50,https://startuplist.africa/industry/analytics
Alumni,1,https://startuplist.africa/industry/alumni
Advice,2,https://startuplist.africa/industry/advice
Architecture,6,https://startuplist.africa/industry/architecture
Appliances,1,https://startuplist.africa/industry/appliances
And Electronics Manufacturing,0,https://startuplist.africa/industry/and-electronics-manufacturing
Asset Management,6,https://startuplist.africa/industry/asset-management
AudioTech,0,https://startuplist.africa/industry/audiotech
Artificial intelligence and machine learning (AI/ML),0,https://startuplist.africa/industry/artificial-intelligence-and-machine-learning-aiml
Animal Feed,3,https://startuplist.africa/industry/animal-feed
Association,1,https://startuplist.africa/industry/association
AgriFintech,1,https://startuplist.africa/industry/agrifintech
Advisory Services,1,https://startuplist.africa/industry/advisory-services
API,53,https://startuplist.africa/industry/api
AutoTech,5,https://startuplist.africa/industry/autotech
Alternative Energy Equipment,2,https://startuplist.africa/industry/alternative-energy-equipment
And Innovation,1,https://startuplist.africa/industry/and-innovation
